OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,Fireplaces,GarageArea,SalePrice,HouseStyle,Condition1,Neighborhood,MSZoning,SaleCondition
7,1980,1980,845,2353,2,1,484,260000,2Story,Norm,NWAmes,RL,Normal
8,2006,2006,1088,1959,2,1,1025,270000,2Story,Norm,Somerst,FV,Normal
7,1993,1993,1347,2646,2,1,656,260000,2Story,Norm,NoRidge,RL,Normal
7,1980,1980,1372,1472,2,2,588,187500,SLvl,Norm,NWAmes,RL,Normal
9,2006,2006,1249,2596,3,0,840,342643,2Story,Norm,NridgHt,RL,Partial
8,2004,2004,1136,2468,2,1,872,354000,2Story,Norm,NridgHt,RL,Normal
7,1986,1987,1502,2730,2,1,576,301000,2Story,Norm,SawyerW,RL,Normal
3,1955,2005,1162,1163,1,0,220,126175,1Story,Norm,OldTown,RM,Normal
7,1967,2007,710,2978,2,1,564,242000,SLvl,PosN,NAmes,RL,Normal
5,1941,1950,720,803,1,0,360,87000,1.5Unf,RRAe,IDOTRR,RM,Normal
8,1993,1993,1719,1719,1,2,473,324000,1Story,Norm,Veenker,RL,Normal
6,1960,1960,1383,1383,1,0,292,145250,1Story,Norm,NAmes,RL,Normal
6,1916,1994,844,2134,2,0,441,214500,2.5Unf,PosN,BrkSide,RL,Normal
5,1920,1950,596,1192,1,0,189,78000,2Story,Norm,IDOTRR,RM,Normal
5,1964,1964,1728,1728,2,0,352,119000,1Story,Norm,NAmes,RL,Normal
5,1958,1992,1056,1056,1,0,308,139000,1Story,Norm,NAmes,RL,Normal
8,2003,2004,3206,1629,2,1,880,284000,1Story,Norm,NridgHt,RL,Normal
7,2004,2004,1358,1358,2,1,484,207000,1Story,Norm,NridgHt,RM,Normal
6,1998,1998,943,1638,2,2,472,192000,2Story,Norm,Gilbert,RL,Normal
5,1965,1965,1499,1786,2,2,529,228950,1.5Fin,Norm,Timber,RL,Normal
9,2005,2006,1922,1922,2,1,676,377426,1Story,Norm,StoneBr,RL,Normal
7,2002,2003,1536,1536,2,0,532,214000,1Story,Norm,CollgCr,RL,Normal
7,1984,1998,1208,1621,2,0,440,202500,1Story,Norm,NWAmes,RL,Normal
6,1958,1998,1215,1215,1,0,297,155000,1Story,Feedr,NAmes,RL,Normal
8,2002,2002,967,1908,2,0,431,202900,2Story,Norm,Timber,RL,Normal
4,1950,1950,721,841,1,0,294,82000,1Story,Feedr,SawyerW,RH,Normal
3,1949,1950,0,1040,2,0,400,87500,1Story,Norm,NAmes,RL,Normal
9,2005,2005,1684,1684,2,1,564,266000,1Story,Norm,NridgHt,RL,Normal
5,1976,1976,536,1112,1,0,336,85000,2Story,Norm,MeadowV,RM,Normal
6,1939,1950,972,1577,1,1,312,140200,1.5Fin,RRAn,BrkSide,RL,Normal
6,1960,1998,958,958,1,0,301,151500,1Story,Norm,NAmes,RL,Normal
6,1960,1960,1478,1478,2,2,498,157500,1Story,Norm,NAmes,RL,Normal
7,2003,2004,764,1626,2,0,474,154000,2Story,Norm,NridgHt,RL,Normal
9,2005,2006,1848,2728,2,2,706,437154,2Story,Norm,NridgHt,RL,Partial
9,2007,2007,1869,1869,2,1,617,318061,1Story,Norm,NridgHt,RL,Partial
7,1986,1986,1453,1453,1,1,445,190000,1Story,Norm,ClearCr,RL,Abnorml
5,1941,1950,616,1111,1,0,200,95000,1.5Fin,Artery,Edwards,RL,Normal
6,1928,2003,624,720,1,0,484,105900,1Story,Norm,OldTown,RM,Normal
6,1940,2000,940,1595,1,2,240,140000,1.5Fin,Norm,SWISU,RL,Normal
6,1995,1995,1200,1200,2,0,521,177500,1Story,Norm,CollgCr,RL,Normal
6,1992,1992,1158,1167,2,0,400,173000,1Story,Norm,Gilbert,RL,Normal
5,1976,1976,1142,1142,1,1,528,134000,1Story,Norm,MeadowV,RM,Normal
5,1958,1958,1062,1352,1,0,288,130000,SLvl,Norm,ClearCr,RL,Abnorml
8,1998,1998,1086,1924,2,1,592,280000,2Story,Norm,NoRidge,RL,Normal
6,1978,1978,888,912,1,1,470,156000,SFoyer,Norm,Mitchel,RL,Normal
5,1940,1982,883,1505,1,0,240,145000,1.5Fin,Norm,BrkSide,RL,Normal
7,2003,2003,0,1922,3,1,672,198500,SFoyer,Norm,Edwards,RL,Normal
6,1972,2007,483,987,1,0,264,118000,2Story,Norm,BrDale,RM,Normal
6,1976,1976,796,1574,2,1,566,190000,2Story,Norm,NWAmes,RL,Normal
5,1920,1997,672,1344,1,0,468,147000,2Story,Norm,IDOTRR,RM,Normal
6,1963,1963,1394,1394,1,2,514,159000,1Story,Norm,NAmes,RL,Normal
6,1962,1962,1099,1431,1,1,296,165000,SLvl,Norm,NAmes,RL,Normal
5,1954,1954,1268,1268,1,1,244,132000,1Story,Norm,NAmes,RL,Normal
5,1959,2006,1063,1287,1,1,576,162000,1Story,Norm,NAmes,RL,Normal
6,2000,2000,953,1664,2,1,460,172400,2Story,Norm,Gilbert,RL,Normal
4,1959,1959,0,1588,2,1,680,134432,1.5Fin,Feedr,ClearCr,RL,Normal
6,1984,1984,744,752,1,0,264,125000,1Story,Norm,SawyerW,RL,Normal
5,1953,1953,608,1319,1,0,270,123000,1Story,Norm,NAmes,RL,Normal
7,2003,2004,847,1928,2,1,434,219500,2Story,Norm,CollgCr,RL,Normal
1,1922,1950,683,904,0,0,0,61000,1Story,Norm,Edwards,RL,Normal
5,1996,1996,870,914,1,0,576,148000,SFoyer,Norm,CollgCr,RL,Normal
8,2004,2005,1580,2466,3,1,610,340000,2Story,Norm,Somerst,FV,Normal
9,2010,2010,1856,1856,1,1,834,394432,1Story,Norm,StoneBr,RL,Partial
6,2000,2000,982,1800,2,1,463,179000,2Story,RRAn,Gilbert,RL,Normal
5,1924,1950,1026,1691,2,1,308,127000,1.5Fin,Norm,SWISU,RL,Normal
7,2006,2006,1293,1301,2,1,572,187750,1Story,Norm,Somerst,FV,Partial
7,2006,2006,939,1797,2,0,639,213500,2Story,Norm,CollgCr,RL,Normal
6,1928,1950,784,784,1,0,360,76000,1.5Unf,Norm,SawyerW,RH,Normal
6,1992,1992,1580,1953,2,2,501,240000,2Story,Feedr,ClearCr,RL,Normal
8,2004,2005,1256,1269,2,1,430,192000,1Story,Norm,Blmngtn,RL,Normal
5,1910,1996,658,1184,1,0,0,81000,1.5Fin,Feedr,Edwards,RL,AdjLand
6,1976,1976,1041,1125,1,1,352,125000,SLvl,Norm,Edwards,RL,Abnorml
7,1999,2000,1468,1479,2,0,577,191000,1Story,Norm,CollgCr,RL,Normal
10,2007,2008,1682,2332,2,1,846,426000,2Story,Norm,NridgHt,RL,Partial
5,1900,1950,861,1367,1,0,384,119000,1.5Fin,Norm,Edwards,RL,Normal
6,2001,2002,804,1961,2,1,560,215000,2Story,Norm,Mitchel,RL,Normal
5,1959,1959,0,882,1,0,294,106500,1Story,Norm,NAmes,RL,Normal
4,1941,1950,788,788,1,2,0,100000,1Story,Feedr,BrkSide,RL,Abnorml
5,1940,1950,735,1034,1,0,240,109000,1.5Fin,Norm,OldTown,RL,Normal
5,1956,1956,1144,1144,1,0,596,129000,1Story,Norm,Edwards,RL,Normal
5,1972,1972,894,894,1,0,600,123000,1Story,Norm,CollgCr,RL,Normal
5,1962,1962,864,1812,2,1,264,169500,2Story,PosN,NAmes,RL,Normal
5,1920,1950,961,1077,1,0,338,67000,1Story,Norm,IDOTRR,RM,Abnorml
7,2006,2007,1092,1550,2,0,438,241000,2Story,Norm,Somerst,FV,Normal
8,1996,1996,1260,1288,1,2,500,245500,1Story,Norm,Veenker,RL,Normal
7,2005,2005,1310,1310,2,1,400,164990,1Story,Norm,CollgCr,RL,Partial
5,1940,1997,672,672,1,0,240,108000,1Story,Norm,Sawyer,RL,Normal
8,1998,1998,1141,2263,2,1,420,258000,2Story,Norm,NoRidge,RL,Abnorml
6,1995,1996,806,1572,2,1,373,168000,2Story,Norm,Gilbert,RL,Normal
4,1976,1993,1281,1620,2,1,490,150000,1Story,Feedr,Sawyer,RL,Normal
6,1936,1950,1064,1639,1,0,240,115000,1.5Fin,Norm,SWISU,RL,Normal
6,1915,1976,840,1680,2,0,308,177000,2Story,Norm,Crawfor,RL,Normal
7,2006,2006,1063,2172,2,1,947,280000,2Story,Norm,NridgHt,RL,Partial
8,2007,2008,1034,2078,2,1,836,339750,2Story,Norm,Somerst,FV,Partial
5,1958,1958,1276,1276,1,0,350,60000,1Story,Norm,Edwards,RL,Abnorml
5,1955,1955,1056,1056,1,0,572,145000,1Story,Norm,Gilbert,RL,Normal
7,2009,2009,1470,1478,2,1,484,222000,1Story,Norm,Somerst,FV,Partial
5,1927,1950,1008,1028,1,1,360,115000,1Story,Artery,OldTown,RM,Normal
7,1993,1993,1080,2097,2,1,678,228000,2Story,Norm,SawyerW,RL,Normal
7,2007,2007,1340,1340,2,0,396,181134,1Story,Norm,Gilbert,RL,Partial
6,1978,1978,672,1400,1,1,440,149500,2Story,Norm,Sawyer,RL,Normal
6,1918,1950,1370,2624,2,1,864,239000,2Story,Feedr,Crawfor,RL,Normal
5,1940,1950,756,1134,1,0,240,126000,1.5Fin,Norm,Edwards,RL,AdjLand
5,1968,1968,1056,1056,1,1,304,142000,1Story,Norm,NAmes,RL,Normal
7,1997,1998,1344,1344,2,0,784,206300,SFoyer,Norm,Mitchel,RM,Alloca
6,1977,2000,1602,1602,2,1,529,215000,1Story,Norm,NWAmes,RL,Normal
5,1954,1954,988,988,1,0,520,113000,1Story,Artery,Mitchel,RL,Normal
8,1998,1998,1470,2630,2,1,696,315000,2Story,Norm,NoRidge,RL,Normal
6,1956,1956,1196,1196,1,1,297,139000,1Story,Norm,NAmes,RL,Normal
7,1946,1992,651,1389,1,2,240,135000,2Story,Norm,OldTown,RM,Normal
7,1989,1989,1518,1644,2,1,569,275000,SLvl,Norm,SawyerW,RL,Normal
4,1957,1957,907,907,1,0,352,109008,1Story,Norm,NAmes,RL,Normal
7,2007,2007,1208,1208,2,0,628,195400,1Story,Norm,CollgCr,RL,Partial
6,1988,1988,1392,1412,2,1,576,175000,1Story,Norm,Timber,RL,Normal
6,1971,1971,483,987,1,0,264,85400,2Story,Norm,BrDale,RM,Abnorml
6,1920,1998,901,1198,1,0,0,79900,1.5Fin,Feedr,OldTown,RM,Abnorml
5,1971,1971,765,1365,1,0,440,122500,2Story,Norm,BrDale,RM,Normal
6,1997,1998,926,1604,2,1,470,181000,2Story,Norm,Gilbert,RL,Normal
4,1972,1972,630,630,1,0,0,81000,SFoyer,Norm,MeadowV,RM,Normal
7,1996,1996,799,1661,2,1,550,212000,2Story,PosN,CollgCr,RL,Normal
6,1920,1950,648,1118,1,0,440,116000,1.5Fin,Norm,OldTown,RM,Normal
6,1926,2004,884,904,1,0,180,119000,1.5Unf,Norm,BrkSide,RM,Normal
5,1913,2002,440,694,1,1,352,90350,1Story,Norm,Crawfor,RL,Normal
6,1920,2000,684,1196,1,0,528,110000,1.5Fin,Norm,Edwards,RL,Normal
10,2008,2008,3094,2402,2,2,672,555000,1Story,Norm,NridgHt,RL,Normal
4,1955,1955,1440,1440,2,0,0,118000,1Story,Norm,Edwards,RL,Normal
5,1930,1992,1078,1573,2,1,360,162900,1.5Fin,Norm,BrkSide,RM,Normal
7,2006,2007,1258,1258,2,1,648,172500,1Story,Norm,Blmngtn,RL,Partial
7,1994,1995,915,1908,2,1,493,210000,2Story,Norm,CollgCr,RL,Normal
6,1956,1956,1436,1689,1,1,480,127500,1Story,Norm,Edwards,RL,Normal
6,1966,2002,1517,1888,2,1,578,190000,1Story,PosA,NAmes,RL,Normal
7,1998,1999,930,1886,2,1,431,199900,2Story,Norm,Gilbert,RL,Normal
6,1937,1950,780,1376,2,1,198,119500,1.5Fin,Norm,IDOTRR,RM,Normal
3,1948,2002,649,1183,1,0,308,120000,1.5Fin,Norm,OldTown,RM,Normal
6,1930,2005,813,813,1,0,270,110000,1Story,Norm,OldTown,RM,Normal
7,1975,1975,1533,1533,2,2,576,280000,1Story,Norm,ClearCr,RL,Normal
6,1996,1997,872,1756,2,0,422,204000,2Story,Norm,Timber,RL,Normal
8,2008,2008,768,1590,2,0,676,210000,2Story,Norm,Somerst,FV,Normal
5,1976,1976,1728,1728,2,0,560,188000,1Story,Norm,Mitchel,RL,Family
7,1973,1973,1242,1242,1,1,528,175500,1Story,Norm,NWAmes,RL,Normal
5,1916,1950,624,1344,1,0,513,98000,2Story,Norm,OldTown,RM,Abnorml
4,1954,1994,1364,1663,1,2,529,256000,1Story,Norm,ClearCr,RL,Normal
8,1925,1996,588,1666,1,1,228,161000,2Story,Norm,OldTown,RM,Normal
5,1950,1950,709,1203,1,1,352,110000,1.5Fin,Norm,BrkSide,RL,Normal
8,2009,2009,832,1935,2,0,552,263435,2Story,RRAn,Somerst,FV,Partial
7,1936,2007,560,1135,1,0,576,155000,2Story,Feedr,SWISU,RL,Normal
5,1965,1965,864,864,1,1,360,62383,1Story,Norm,Sawyer,RL,Normal
6,1934,1995,715,1660,1,1,240,188700,2Story,Norm,Crawfor,RL,Normal
5,1978,1978,1040,1040,2,0,0,124000,1Story,Norm,CollgCr,RL,Normal
7,2004,2004,1375,1414,2,1,398,178740,1Story,Norm,Blmngtn,RM,Normal
7,1970,1970,1277,1277,1,1,526,167000,1Story,Norm,NAmes,RL,Normal
5,1942,1995,728,1644,1,2,312,146500,2Story,Artery,NAmes,RL,Normal
8,2006,2006,1626,1634,2,1,866,250000,1Story,Norm,NridgHt,RL,Normal
6,1993,1993,832,1710,2,0,506,187000,2Story,RRNe,SawyerW,RL,Normal
8,1985,1985,1488,1502,1,0,528,212000,1Story,Norm,StoneBr,RL,Normal
7,1977,1977,808,1969,2,1,534,190000,2Story,PosA,NWAmes,RL,Normal
6,2005,2005,547,1072,1,0,525,148000,SLvl,Norm,Edwards,RM,Normal
8,2006,2007,1976,1976,2,1,908,440000,1Story,Norm,NridgHt,RL,Partial
8,2000,2000,1494,1652,2,0,499,251000,1Story,Norm,StoneBr,RL,Normal
5,1963,1963,970,970,1,0,624,132500,1Story,Norm,Sawyer,RL,Normal
6,1997,1998,1478,1493,2,1,508,208900,1Story,Norm,CollgCr,RL,Normal
9,2006,2006,2153,2643,2,1,694,380000,2Story,Norm,NridgHt,RL,Normal
8,2007,2008,1705,1718,2,1,826,297000,1Story,Norm,CollgCr,RL,Normal
4,1937,2000,907,1131,1,0,672,89471,1Story,Norm,OldTown,RM,Alloca
9,2004,2005,1833,1850,2,1,772,326000,1Story,Norm,NridgHt,RL,Normal
9,2003,2004,1792,1792,2,1,874,374000,1Story,Norm,NridgHt,RL,Normal
7,1915,2005,910,1826,1,1,164,155000,2Story,Norm,OldTown,RM,Normal
6,1998,1998,1216,1216,2,0,402,164000,1Story,Norm,Mitchel,RM,Normal
5,1962,2001,999,999,1,0,264,132500,1Story,Norm,Sawyer,RL,Normal
5,1950,2007,1113,1113,1,1,264,147000,1Story,Norm,NAmes,RL,Normal
5,1965,1965,1073,1073,1,0,515,156000,1Story,Norm,NAmes,RL,Normal
5,1971,1971,1484,1484,2,1,487,175000,1Story,Norm,NWAmes,RL,Normal
5,1900,1970,954,2414,2,1,520,160000,1.5Fin,Norm,OldTown,RL,Normal
4,1970,2002,630,630,1,0,286,86000,SFoyer,Norm,MeadowV,RM,Normal
5,1976,1976,264,1304,1,1,336,115000,2Story,Norm,MeadowV,RM,Normal
6,1941,1950,806,1578,1,2,240,133000,1.5Fin,Artery,NAmes,RL,Normal
6,2006,2006,728,1456,2,0,429,172785,2Story,Norm,Gilbert,RL,Partial
5,1960,1960,1269,1269,1,1,308,155000,1Story,Norm,NAmes,RL,Normal
5,1938,1996,190,886,1,0,273,91300,1Story,Artery,OldTown,RM,Normal
4,1920,1950,720,720,1,0,0,34900,1Story,Norm,IDOTRR,C (all),Abnorml
8,1992,1993,3200,3228,3,1,546,430000,1Story,Norm,NoRidge,RL,Normal
7,1925,1950,1026,1820,2,0,240,184000,1.5Fin,Norm,BrkSide,RL,Normal
5,1967,2004,864,899,1,0,288,130000,1Story,Norm,Sawyer,RL,Normal
5,1958,1985,912,912,1,0,297,120000,1Story,Norm,NAmes,RL,Normal
6,1973,1973,672,1218,1,0,264,113000,2Story,Norm,BrDale,RM,Normal
7,2005,2005,866,1768,2,0,603,226700,2Story,Norm,Somerst,FV,Normal
5,1965,1965,1214,1214,1,0,461,140000,1Story,Feedr,Edwards,RL,Normal
7,1959,1997,1501,1801,2,2,484,289000,1Story,Norm,Crawfor,RL,Normal
6,1974,1974,855,1322,2,1,440,147000,2Story,Norm,NPkVill,RL,Normal
5,1952,1952,960,1960,2,0,400,124500,2Story,Artery,OldTown,RM,Normal
8,1993,1994,777,1911,2,1,471,215000,2Story,Norm,SawyerW,RL,Normal
6,2009,2009,1218,1218,2,0,676,208300,1Story,Norm,Somerst,FV,Partial
7,1928,2005,689,1378,2,1,360,161000,2Story,Norm,OldTown,RM,Normal
5,1959,1959,1041,1041,1,0,270,124500,1Story,Norm,NAmes,RL,Normal
5,1951,2000,1008,1363,1,2,288,164900,1Story,Norm,NAmes,RL,Normal
7,2005,2006,1368,1368,2,1,474,202665,1Story,Norm,NridgHt,RL,Partial
5,1958,1958,864,864,1,0,624,129900,1Story,Feedr,NAmes,RL,Normal
6,1983,1983,1084,1080,1,0,484,134000,1Story,Norm,Mitchel,RL,Normal
5,1926,1950,768,789,1,0,200,96500,1.5Unf,Norm,Crawfor,RL,Normal
10,2009,2009,2006,2020,2,1,900,402861,1Story,Norm,NridgHt,RL,Partial
6,1972,1972,689,2119,2,1,583,158000,SLvl,Norm,NWAmes,RL,Abnorml
7,1996,1997,1264,2344,2,1,889,265000,2Story,Norm,NoRidge,RL,Normal
6,1998,1998,794,1796,2,0,546,211000,2Story,Norm,CollgCr,RL,Normal
7,1926,2004,1276,2080,1,2,282,234000,2Story,Norm,Crawfor,RL,Normal
4,1900,2000,0,1294,2,0,0,106250,2Story,Norm,OldTown,RL,Normal
6,1957,1957,1244,1244,1,2,336,150000,1Story,Feedr,NAmes,RL,Normal
6,1947,1950,1004,1664,2,2,420,159000,1.5Fin,Feedr,BrkSide,RM,Normal
10,2007,2008,3138,4676,3,1,884,184750,2Story,PosN,Edwards,RL,Partial
7,1996,1997,1379,2398,2,1,834,315750,2Story,Norm,NoRidge,RL,Normal
7,2005,2005,1257,1266,2,1,453,176000,1Story,Norm,Somerst,FV,Normal
5,1956,2000,928,928,1,0,252,132000,1Story,Norm,NAmes,RL,Normal
9,2008,2008,1452,2713,2,1,858,446261,2Story,Norm,NridgHt,RL,Partial
4,1920,2002,528,605,1,0,0,86000,1Story,Norm,Edwards,RL,Normal
6,1957,1975,2035,2515,3,2,484,200624,1Story,Norm,Crawfor,RL,Alloca
6,1988,1989,1461,1509,2,1,600,175000,SLvl,Norm,Timber,RL,Abnorml
6,1920,1999,611,1362,2,0,502,128000,2Story,RRNn,BrkSide,RM,Normal
5,1955,2007,0,827,1,1,392,107500,1Story,Norm,NAmes,RL,Normal
1,1946,1950,0,334,1,0,0,39300,1Story,Norm,BrkSide,RL,Normal
8,2004,2004,707,1414,2,1,403,178000,2Story,Norm,Gilbert,RL,Normal
5,1910,1991,1117,1347,1,0,0,107500,2Story,Norm,Edwards,RL,Normal
7,1998,1999,880,1724,2,0,527,188000,2Story,Norm,CollgCr,RL,Normal
4,1972,1972,864,864,1,0,576,111250,1Story,Norm,NAmes,RL,Normal
5,1968,1968,1051,1159,1,1,336,158000,1Story,Norm,Sawyer,RL,Normal
8,2001,2002,1581,1601,2,1,670,272000,1Story,Norm,CollgCr,RL,Normal
9,2006,2006,1838,1838,2,1,765,315000,1Story,Norm,Timber,RL,Normal
8,2000,2000,969,2285,2,1,648,248000,2Story,Norm,NoRidge,RL,Normal
7,1998,1999,1650,1680,2,1,583,213250,1Story,RRAn,NWAmes,RL,Normal
7,1998,1998,723,767,1,0,367,133000,SFoyer,Norm,NAmes,RH,Normal
7,2006,2006,654,1496,2,1,426,179665,2Story,Norm,Gilbert,RL,Partial
7,1988,1988,1204,2183,2,0,786,229000,1.5Fin,Norm,NWAmes,RL,Normal
6,1923,1950,1065,1635,1,1,440,210000,1.5Fin,Norm,BrkSide,RL,Normal
5,1970,1970,768,768,1,0,624,129500,SFoyer,Norm,Mitchel,RL,Normal
5,1955,1995,825,825,1,0,720,125000,1Story,Feedr,OldTown,RM,Normal
7,2003,2004,912,2094,2,1,615,263000,2Story,Norm,Somerst,FV,Normal
6,1977,1977,1069,1069,2,0,440,140000,1Story,Norm,NPkVill,RL,Abnorml
5,1957,1957,928,928,1,0,288,112500,1Story,Norm,OldTown,RM,Normal
8,2006,2006,1709,1717,2,1,908,255500,1Story,Norm,NridgHt,RL,Normal
4,1949,2003,0,1126,2,0,520,108000,1Story,Feedr,Edwards,RL,Normal
7,2003,2004,998,2046,2,1,871,284000,2Story,Norm,NridgHt,RL,Normal
5,1922,1950,993,1048,1,1,280,113000,1.5Unf,Norm,BrkSide,RM,Normal
5,1957,1957,1092,1092,1,1,299,141000,1Story,Norm,NAmes,RL,Normal
4,1920,1950,637,1336,1,0,570,108000,1.5Fin,Norm,IDOTRR,C (all),Normal
7,1996,1997,729,1446,2,1,406,175000,2Story,Norm,Gilbert,RL,Normal
7,2003,2004,1374,1557,2,1,420,234000,1Story,Norm,Blmngtn,RL,Normal
5,1957,1996,1392,1392,1,1,528,121500,1Story,Norm,Sawyer,RL,Normal
5,1974,1975,1389,1389,1,1,418,170000,1Story,Norm,Mitchel,RL,Normal
5,1940,1969,996,996,1,1,0,108000,1Story,Norm,Edwards,RL,Normal
6,1918,1950,1163,1674,2,1,396,185000,1.5Fin,Norm,Edwards,RL,Normal
7,1992,2000,1095,2295,2,1,590,268000,2Story,Norm,NoRidge,RL,Normal
6,1915,1950,806,1647,1,0,216,128000,2Story,Norm,SWISU,RL,Normal
9,2005,2007,1122,2504,2,1,656,325000,2Story,Norm,StoneBr,RL,Normal
7,2004,2004,1517,1535,2,0,532,214000,1Story,Norm,NridgHt,RL,Normal
8,1983,2009,1496,2132,1,1,612,316600,1.5Fin,Norm,SawyerW,RL,Normal
5,1979,1979,943,943,1,2,600,135960,SFoyer,Norm,NAmes,RL,Normal
5,1965,1965,1728,1728,2,0,576,142600,1Story,Norm,NAmes,RL,Normal
6,1959,1959,864,864,1,0,288,120000,1Story,Norm,NAmes,RL,Abnorml
7,2009,2009,846,1692,2,0,650,224500,2Story,Norm,Timber,RL,Partial
7,2000,2000,384,1430,2,1,400,170000,SLvl,Norm,Gilbert,RL,Normal
5,1971,2005,372,1109,1,0,288,139000,SLvl,Norm,NAmes,RL,Normal
5,1947,1950,832,1216,1,0,336,118500,1.5Fin,Norm,NAmes,RL,Abnorml
7,1928,1950,861,1477,2,1,216,145000,1.5Fin,Norm,SWISU,RL,Normal
5,1966,1966,1164,1320,1,2,564,164500,SLvl,Norm,Sawyer,RL,Abnorml
7,2007,2007,689,1392,2,0,540,146000,2Story,Norm,Somerst,FV,Abnorml
5,1954,1954,1050,1795,2,0,352,131500,1.5Fin,Norm,OldTown,RM,Normal
6,1960,1987,1144,1429,1,2,572,181900,1Story,Norm,NAmes,RL,Normal
8,2008,2009,2042,2042,2,1,1390,253293,1Story,Norm,NridgHt,RL,Partial
6,1990,1990,816,816,1,0,0,118500,SFoyer,Norm,Edwards,RL,Normal
10,1893,2000,1237,2775,3,1,880,325000,2.5Unf,Artery,OldTown,RM,Normal
4,1935,1995,884,1573,1,0,240,133000,1.5Fin,Norm,BrkSide,RM,Normal
8,2005,2006,1868,2028,2,2,880,369900,1Story,Norm,Timber,RL,Partial
6,1918,2000,816,838,1,0,275,130000,1Story,RRAn,BrkSide,RL,Normal
5,1982,1982,840,860,1,0,528,137000,SFoyer,Norm,Sawyer,RL,Normal
5,1968,2003,1437,1473,1,2,452,143000,1Story,Norm,ClearCr,RL,Partial
5,1930,1960,742,935,1,0,308,79500,1Story,RRAn,BrkSide,RM,Normal
7,2004,2004,770,1582,2,0,520,185900,2Story,Norm,CollgCr,RL,Normal
10,2008,2008,1722,2296,2,1,842,451950,2Story,Norm,NridgHt,RL,Normal
5,1982,2003,816,816,1,0,816,138000,1Story,Norm,Mitchel,RL,Normal
6,2003,2003,848,848,1,0,420,140000,1Story,Norm,CollgCr,RM,Normal
5,1975,1975,924,924,1,0,280,110000,1Story,Norm,CollgCr,RL,Normal
8,2005,2006,1814,1826,2,1,758,319000,1Story,Norm,StoneBr,RL,Partial
6,1910,1993,684,1368,1,0,216,114504,2Story,Norm,OldTown,RM,Normal
7,2006,2007,1258,1402,0,1,648,194201,1Story,Norm,Blmngtn,RL,Partial
5,1977,1977,1430,1647,2,1,621,217500,1Story,Norm,Crawfor,RL,Normal
6,1980,1980,716,1556,2,1,452,151000,2Story,Norm,Blueste,RM,Normal
8,2005,2005,1058,1904,2,1,736,275000,2Story,Norm,NridgHt,RL,Normal
6,1937,1950,780,1375,1,1,544,141000,1.5Fin,Norm,IDOTRR,RM,Normal
8,1992,1992,908,1915,2,1,506,220000,2Story,Norm,SawyerW,RL,Abnorml
7,2004,2005,600,1200,2,0,480,151000,2Story,Norm,Somerst,FV,Normal
7,2002,2002,1494,1494,2,1,530,221000,1Story,Norm,CollgCr,RL,Normal
7,1965,1990,768,1986,2,3,486,205000,2Story,Norm,NAmes,RL,Normal
5,1996,1996,1040,1040,1,0,576,152000,1Story,Norm,CollgCr,RL,Normal
5,1948,2002,896,2008,3,0,230,225000,2Story,Norm,Edwards,RL,Normal
8,1934,1998,965,3194,2,2,380,359100,2Story,Norm,Crawfor,RL,Alloca
4,1961,1961,1029,1029,1,0,261,118500,1Story,Feedr,Sawyer,RL,Normal
9,2000,2000,1440,2153,2,2,736,313000,2Story,PosN,CollgCr,RL,Normal
6,1978,1978,1032,1032,2,1,564,148000,SLvl,Norm,NWAmes,RL,Normal
8,2001,2001,1299,1872,2,1,531,261500,2Story,Norm,CollgCr,RL,Normal
5,2007,2007,1120,1120,1,0,0,147000,1Story,Feedr,Mitchel,RL,Partial
4,1972,1972,630,630,1,0,0,75500,SFoyer,Norm,MeadowV,RM,Normal
6,1963,1963,936,1054,1,0,480,137500,SFoyer,Feedr,NAmes,RL,Abnorml
6,2002,2003,783,1509,2,1,393,183200,2Story,Norm,Gilbert,RL,Normal
6,1954,1954,832,832,1,0,528,105500,1.5Unf,Artery,NAmes,RL,Normal
9,2007,2007,1822,1828,2,1,774,314813,1Story,Norm,NridgHt,RL,Partial
8,2003,2003,1482,2262,2,2,749,305000,2Story,Norm,Timber,RL,Normal
3,1914,1950,864,864,1,0,0,67000,1Story,Norm,Edwards,RL,Normal
6,1974,1997,1522,2614,2,1,624,240000,2Story,Norm,NWAmes,RL,Normal
5,1977,1977,980,980,1,0,484,135000,1Story,Norm,Sawyer,RL,Normal
6,2000,2000,756,1512,2,1,440,168500,2Story,Norm,Somerst,FV,Normal
6,1972,1972,732,1790,1,1,484,165150,2Story,Norm,NWAmes,RL,Normal
6,1962,1962,1116,1116,1,0,440,160000,1Story,Norm,NAmes,RL,Normal
5,1960,1978,978,1422,1,1,286,139900,1Story,Norm,NAmes,RL,Normal
6,1955,1972,1156,1520,1,2,364,153000,SLvl,Norm,NAmes,RL,Normal
5,1969,1969,1040,2080,1,2,504,135000,2Story,Norm,NAmes,RL,Family
6,1964,1964,1248,1350,1,0,520,168500,SLvl,Feedr,NAmes,RL,Normal
5,1880,1991,636,1750,1,0,240,124000,2Story,Artery,OldTown,RM,Abnorml
8,2006,2006,1554,1554,2,1,627,209500,1Story,Norm,NridgHt,RL,Normal
7,1977,1977,1386,1411,2,1,544,82500,1Story,Norm,NWAmes,RL,Family
5,1954,2005,1056,1056,1,0,260,139400,1Story,Norm,NAmes,RL,Normal
